table,scenario,method,win_rate_pct,score_mean,score_std,source
1,sce-1,Replay,100,54.18,14.63,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
1,sce-1m,Replay,80.8,22.27,20.00,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
1,sce-2,Replay,100,74.03,6.60,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
1,sce-2m,Replay,88.9,35.15,27.22,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
1,sce-3,Replay,96,47.45,11.68,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
1,sce-3m,Replay,50.5,28.45,22.94,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1,QMIX,100,15.18,4.99,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1,QTRAN,99,15.93,8.50,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1,VDN,94,10.53,10.07,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1,RMAPPO,97,19.05,10.10,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1,MAPPO,100,21.66,6.56,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1,MAT,90,18.93,16.75,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1m,QMIX,98,21.24,10.39,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1m,QTRAN,97,28.11,13.01,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1m,VDN,100,25.32,8.61,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1m,RMAPPO,98,27.39,11.47,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1m,MAPPO,100,33.63,10.34,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-1m,MAT,99,30.96,12.63,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2,QMIX,100,38.88,11.40,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2,QTRAN,99,39.99,9.61,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2,VDN,100,28.47,6.39,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2,RMAPPO,100,63.48,4.26,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2,MAPPO,100,63.30,5.60,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2,MAT,100,45.12,11.46,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2m,QMIX,93,22.08,12.52,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2m,QTRAN,100,32.82,6.74,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2m,VDN,100,32.46,7.57,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2m,RMAPPO,100,58.77,7.84,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2m,MAPPO,100,59.36,4.31,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-2m,MAT,100,39.24,8.70,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3,QMIX,98,45.00,18.85,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3,QTRAN,96,40.95,16.42,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3,VDN,99,37.77,14.06,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3,RMAPPO,97,39.57,15.60,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3,MAPPO,99,43.62,17.52,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3,MAT,77,28.17,22.70,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3m,QMIX,100,60.93,10.92,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3m,QTRAN,100,55.62,13.90,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3m,VDN,100,61.32,11.87,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3m,RMAPPO,100,65.28,11.66,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3m,MAPPO,87,54.99,18.08,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
2,sce-3m,MAT,73,31.08,22.70,"AIIDE 2026 SAGE camera-ready, Tables 1-2"
