scene,map_key,rank,config,score
sce1,sce-1,1,ms_ns,48.66
sce1,sce-1,1,ms_ex,48.96
sce1,sce-1,1,ms_fz020,55.38
sce1,sce-1,1,ms_fz050,52.62
sce1,sce-1,2,ms_ns,50.46
sce1,sce-1,2,ms_ex,48.42
sce1,sce-1,2,ms_fz020,50.52
sce1,sce-1,2,ms_fz050,49.86
sce1,sce-1,3,ms_ns,53.16
sce1,sce-1,3,ms_ex,50.82
sce1,sce-1,3,ms_fz020,52.44
sce1,sce-1,3,ms_fz050,54.84
sce1,sce-1,4,ms_ns,50.58
sce1,sce-1,4,ms_ex,51.3
sce1,sce-1,4,ms_fz020,49.68
sce1,sce-1,4,ms_fz050,45.48
sce1,sce-1,6,ms_ns,48.54
sce1,sce-1,6,ms_ex,52.14
sce1,sce-1,6,ms_fz020,53.76
sce1,sce-1,6,ms_fz050,52.02
sce1,sce-1,7,ms_ns,48.72
sce1,sce-1,7,ms_ex,52.86
sce1,sce-1,7,ms_fz020,50.4
sce1,sce-1,7,ms_fz050,53.34
sce1m,sce-1m,1,ms_ns,17.82
sce1m,sce-1m,1,ms_ex,21.6
sce1m,sce-1m,1,ms_fz020,27.12
sce1m,sce-1m,1,ms_fz050,23.58
sce1m,sce-1m,5,ms_ns,21.0
sce1m,sce-1m,5,ms_ex,22.86
sce1m,sce-1m,5,ms_fz020,24.9
sce1m,sce-1m,5,ms_fz050,20.1
sce1m,sce-1m,6,ms_ns,21.12
sce1m,sce-1m,6,ms_ex,25.02
sce1m,sce-1m,6,ms_fz020,19.74
sce1m,sce-1m,6,ms_fz050,23.7
sce2,sce-2,1,ms_ns,69.0
sce2,sce-2,1,ms_ex,72.54
sce2,sce-2,1,ms_fz020,70.56
sce2,sce-2,1,ms_fz050,63.18
sce2,sce-2,4,ms_ns,71.7
sce2,sce-2,4,ms_ex,71.4
sce2,sce-2,4,ms_fz020,72.78
sce2,sce-2,4,ms_fz050,72.06
sce2,sce-2,6,ms_ns,68.34
sce2,sce-2,6,ms_ex,69.42
sce2,sce-2,6,ms_fz020,71.04
sce2,sce-2,6,ms_fz050,69.78
sce2,sce-2,8,ms_ns,60.6
sce2,sce-2,8,ms_ex,71.28
sce2,sce-2,8,ms_fz020,69.9
sce2,sce-2,8,ms_fz050,71.58
sce2m,sce-2m,1,ms_ns,43.98
sce2m,sce-2m,1,ms_ex,42.24
sce2m,sce-2m,1,ms_fz020,42.24
sce2m,sce-2m,1,ms_fz050,52.86
sce2m,sce-2m,2,ms_ns,35.28
sce2m,sce-2m,2,ms_ex,51.06
sce2m,sce-2m,2,ms_fz020,40.98
sce2m,sce-2m,2,ms_fz050,47.88
sce2m,sce-2m,5,ms_ns,46.26
sce2m,sce-2m,5,ms_ex,42.6
sce2m,sce-2m,5,ms_fz020,41.46
sce2m,sce-2m,5,ms_fz050,53.46
sce2m,sce-2m,6,ms_ns,42.9
sce2m,sce-2m,6,ms_ex,54.12
sce2m,sce-2m,6,ms_fz020,52.14
sce2m,sce-2m,6,ms_fz050,51.9
sce2m,sce-2m,7,ms_ns,34.8
sce2m,sce-2m,7,ms_ex,46.56
sce2m,sce-2m,7,ms_fz020,43.02
sce2m,sce-2m,7,ms_fz050,54.72
sce2m,sce-2m,8,ms_ns,43.68
sce2m,sce-2m,8,ms_ex,49.08
sce2m,sce-2m,8,ms_fz020,51.18
sce2m,sce-2m,8,ms_fz050,49.8
sce3,sce-3,1,ms_ns,49.56
sce3,sce-3,1,ms_ex,53.58
sce3,sce-3,1,ms_fz020,52.74
sce3,sce-3,1,ms_fz050,54.42
sce3,sce-3,2,ms_ns,51.66
sce3,sce-3,2,ms_ex,54.54
sce3,sce-3,2,ms_fz020,56.7
sce3,sce-3,2,ms_fz050,50.7
sce3,sce-3,3,ms_ns,54.24
sce3,sce-3,3,ms_ex,60.36
sce3,sce-3,3,ms_fz020,48.9
sce3,sce-3,3,ms_fz050,54.12
sce3,sce-3,4,ms_ns,51.06
sce3,sce-3,4,ms_ex,53.22
sce3,sce-3,4,ms_fz020,52.08
sce3,sce-3,4,ms_fz050,51.48
sce3,sce-3,5,ms_ns,53.22
sce3,sce-3,5,ms_ex,56.52
sce3,sce-3,5,ms_fz020,52.14
sce3,sce-3,5,ms_fz050,55.8
sce3,sce-3,6,ms_ns,46.86
sce3,sce-3,6,ms_ex,53.58
sce3,sce-3,6,ms_fz020,52.14
sce3,sce-3,6,ms_fz050,52.32
sce3,sce-3,8,ms_ns,51.72
sce3,sce-3,8,ms_ex,53.58
sce3,sce-3,8,ms_fz020,55.26
sce3,sce-3,8,ms_fz050,54.84
sce3m,sce-3m,2,ms_ns,60.42
sce3m,sce-3m,2,ms_ex,60.42
sce3m,sce-3m,2,ms_fz020,61.08
sce3m,sce-3m,2,ms_fz050,62.22
sce3m,sce-3m,3,ms_ns,61.44
sce3m,sce-3m,3,ms_ex,62.04
sce3m,sce-3m,3,ms_fz020,62.22
sce3m,sce-3m,3,ms_fz050,60.96
sce3m,sce-3m,5,ms_ns,62.1
sce3m,sce-3m,5,ms_ex,62.46
sce3m,sce-3m,5,ms_fz020,62.76
sce3m,sce-3m,5,ms_fz050,60.12
sce3m,sce-3m,6,ms_ns,62.7
sce3m,sce-3m,6,ms_ex,62.52
sce3m,sce-3m,6,ms_fz020,62.16
sce3m,sce-3m,6,ms_fz050,65.4
sce3m,sce-3m,8,ms_ns,63.3
sce3m,sce-3m,8,ms_ex,62.34
sce3m,sce-3m,8,ms_fz020,64.32
sce3m,sce-3m,8,ms_fz050,63.24
