method,scenario,experiment_id,eval_name,repeat,episode_id,line_no_read,line_no_selected,score,score_selected_csv,result,win,frame_count,selected_rank,counterpart_rank,selection_tier,counterpart_rule,selected_source_file
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,1,1,1,66.0,66.0,Win,1.0,17,5.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,3,3,3,54.0,54.0,Win,1.0,20,100.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,5,5,5,57.0,57.0,Win,1.0,14,74.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,6,6,6,69.0,69.0,Win,1.0,17,8.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,7,7,7,66.0,66.0,Win,1.0,19,41.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,8,8,8,69.0,69.0,Win,1.0,18,4.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,11,11,11,66.0,66.0,Win,1.0,15,32.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,14,14,14,75.0,75.0,Win,1.0,17,21.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,16,16,16,54.0,54.0,Win,1.0,20,98.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,18,18,18,66.0,66.0,Win,1.0,15,30.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,19,19,19,78.0,78.0,Win,1.0,17,15.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,25,25,25,69.0,69.0,Win,1.0,14,35.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,29,29,29,72.0,72.0,Win,1.0,19,13.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,33,33,33,57.0,57.0,Win,1.0,14,76.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,41,41,41,66.0,66.0,Win,1.0,20,42.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,42,42,42,72.0,72.0,Win,1.0,18,19.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,45,45,45,60.0,60.0,Win,1.0,19,70.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,47,47,47,51.0,51.0,Win,1.0,16,90.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,52,52,52,60.0,60.0,Win,1.0,17,57.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,53,53,53,54.0,54.0,Win,1.0,20,97.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,56,56,56,69.0,69.0,Win,1.0,14,23.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,57,57,57,90.0,90.0,Win,1.0,17,3.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,69,69,69,60.0,60.0,Win,1.0,18,54.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,74,74,74,72.0,72.0,Win,1.0,18,24.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,75,75,75,75.0,75.0,Win,1.0,14,27.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,81,81,81,63.0,63.0,Win,1.0,14,18.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,86,86,86,63.0,63.0,Win,1.0,14,34.0,,high_score_positive_contribution,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,97,97,97,51.0,51.0,Win,1.0,15,94.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,98,98,98,60.0,60.0,Win,1.0,16,73.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
Synergy,sce-1,sce1_synergy_run_0074,eval_run_0074_web_batch_20260622_141137,repeat_001,101,101,101,45.0,45.0,Win,1.0,16,72.0,,positive_contribution_fill,nan,selected_gate_positive_episodes.csv
