scenario,method,n,score_mean,score_std,win_rate
sce-1,ETG-only,100,52.02,15.563477059507562,1.0
sce-1,Synergy,100,61.23,12.233300305462805,1.0
sce-1m,ETG-only,100,23.43,23.812506263420794,0.81
sce-1m,Synergy,100,42.3,8.670744961179414,1.0
sce-2,ETG-only,100,73.11,7.870023680223126,1.0
sce-2,Synergy,100,77.46,3.750878684933832,1.0
sce-2m,ETG-only,100,44.7,13.654835973183475,1.0
sce-2m,Synergy,100,57.0,4.690415759823429,1.0
sce-3,ETG-only,100,55.02,17.98089895619035,1.0
sce-3,Synergy,100,66.9,8.702141847112848,1.0
sce-3m,ETG-only,100,62.13,15.095423749660629,0.99
sce-3m,Synergy,100,62.25,6.946221994724902,1.0
