scenario,source_relation,n_states,total_frames,score_mean,score_std,hp_margin_mean,progress_mean
sce-1,etg_selected_outside_source_etg,13,39,63.400000000000006,13.017488236983354,7.153846153846154,0.2509162428250306
sce-1,shared_selected_outside_source_etg,56,238,63.928991692830984,11.412977982869442,7.5,0.22002590228786326
sce-1,source_etg_supported,557,2098,54.338215578266706,14.947902796319713,31.017953321364452,0.6003194437669499
sce-1,synergy_selected_outside_source_etg,15,44,65.23142857142857,11.654871977689268,8.4,0.269995816215225
sce-1m,etg_selected_outside_source_etg,48,137,27.72021329365079,26.133859768478768,0.3125,0.2527495444051252
sce-1m,shared_selected_outside_source_etg,19,50,44.43421052631579,10.640123911031546,3.1578947368421053,0.36946840139564596
sce-1m,source_etg_supported,311,1034,28.62513014852243,18.57281135531625,12.231511254019292,0.5593416108759214
sce-1m,synergy_selected_outside_source_etg,47,123,43.56595744680851,6.939365545355202,1.851063829787234,0.29524301932993596
sce-2,etg_selected_outside_source_etg,5,15,80.03999999999999,6.211521552727639,39.6,0.6683333333333333
sce-2,source_etg_supported,271,879,76.1063890276533,5.048621624912065,23.579335793357934,0.43491060433584966
sce-2,synergy_selected_outside_source_etg,19,50,80.1907894736842,3.3593692625410005,45.94736842105263,0.7063895534290271
sce-2m,etg_selected_outside_source_etg,10,31,43.769999999999996,12.566980544267583,-2.4,0.534775641025641
sce-2m,shared_selected_outside_source_etg,10,117,55.552013936741176,3.6018536552208884,-3.6,0.49511281345646674
sce-2m,source_etg_supported,249,2340,45.81719498140385,14.012517042562132,13.421686746987952,0.6214143092572774
sce-2m,synergy_selected_outside_source_etg,3,6,59.5,7.399324293474371,9.0,0.5555555555555555
sce-3,etg_selected_outside_source_etg,54,149,55.49218220051553,11.04176801479311,-23.77777777777778,0.18701711626809295
sce-3,shared_selected_outside_source_etg,39,207,62.87352423217808,8.74070207264778,-35.69230769230769,0.16477277853548453
sce-3,source_etg_supported,25,369,57.86212013668357,12.489266830349885,-15.48,0.2455839090731945
sce-3,synergy_selected_outside_source_etg,30,68,66.69166666666666,4.9756663621193935,-28.4,0.22616578167052925
sce-3m,etg_selected_outside_source_etg,50,113,63.449,9.603010210451764,-19.8,0.35082560700169396
sce-3m,shared_selected_outside_source_etg,90,339,61.00863016613017,7.58051776759294,-32.0,0.27010380282913393
sce-3m,source_etg_supported,33,382,57.45005153576582,16.9107069477227,-12.454545454545455,0.261289081567878
sce-3m,synergy_selected_outside_source_etg,58,132,62.491379310344826,5.622434213503832,-15.051724137931034,0.47578724526625576
