scenario,method,selected_source_file,n,score_mean,score_std,eval_names,eval_dirs
sce-1,ETG-only,selected_etg_counterpart_episodes.csv,100,52.02,15.563477059507562,eval_run_0068_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137
sce-1,Synergy,selected_gate_positive_episodes.csv,100,61.23,12.233300305462787,eval_run_0074_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\synergy\sce1_synergy_run_0074\final_eval\eval_run_0074_web_batch_20260622_141137
sce-1m,ETG-only,selected_etg_counterpart_episodes.csv,100,23.43,23.812506263420804,eval_run_0071_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1m_etg_run_0071\final_eval\eval_run_0071_web_batch_20260622_141137
sce-1m,Synergy,selected_gate_positive_episodes.csv,100,42.3,8.67074496117941,eval_run_0077_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\synergy\sce1m_synergy_run_0077\final_eval\eval_run_0077_web_batch_20260622_141137
sce-2,ETG-only,selected_etg_counterpart_episodes.csv,100,73.11,7.870023680223117,eval_run_0069_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137
sce-2,Synergy,selected_gate_positive_episodes.csv,100,77.46,3.750878684933825,eval_run_0075_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\synergy\sce2_synergy_run_0075\final_eval\eval_run_0075_web_batch_20260622_141137
sce-2m,ETG-only,selected_etg_counterpart_episodes.csv,100,44.7,13.654835973183468,eval_run_0072_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2m_etg_run_0072\final_eval\eval_run_0072_web_batch_20260622_141137
sce-2m,Synergy,selected_gate_positive_episodes.csv,100,57.0,4.690415759823434,eval_run_0078_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\synergy\sce2m_synergy_run_0078\final_eval\eval_run_0078_web_batch_20260622_141137
sce-3,ETG-only,selected_etg_counterpart_episodes.csv,100,55.02,17.980898956190355,eval_run_0070_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce3_etg_run_0070\final_eval\eval_run_0070_web_batch_20260622_141137
sce-3,Synergy,selected_gate_positive_episodes.csv,100,66.9,8.702141847112866,eval_run_0076_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\synergy\sce3_synergy_run_0076\final_eval\eval_run_0076_web_batch_20260622_141137
sce-3m,ETG-only,selected_etg_counterpart_episodes.csv,100,62.13,15.09542374966061,eval_run_0073_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce3m_etg_run_0073\final_eval\eval_run_0073_web_batch_20260622_141137
sce-3m,Synergy,selected_gate_positive_episodes.csv,100,62.25,6.946221994724893,eval_run_0079_web_batch_20260622_141137,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\synergy\sce3m_synergy_run_0079\final_eval\eval_run_0079_web_batch_20260622_141137
