idx,map_id,method,experiment_id,episode_id,result,score,sequence_length,mds_x,mds_y
0,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,298,Win,87.0,13,-0.06694190512543591,-1.2400980145455394
1,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,295,Win,84.0,12,-0.943374537951202,-0.5806990108776033
2,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,293,Win,84.0,12,-0.8741894377433067,-0.6022295273536931
3,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,251,Win,84.0,12,-1.2554389338896021,-0.5409224904374009
4,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,227,Win,84.0,12,-1.2429627618759589,-0.5360144413118229
5,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,211,Win,84.0,12,-1.3244262333189374,-0.6646758426506303
6,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,197,Win,84.0,12,-0.8947485808254381,-0.5395061211627438
7,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,195,Win,84.0,12,-0.9793590014750854,0.05501522451204788
8,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,191,Win,84.0,12,-0.7284750024260842,-0.752445091209097
9,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,188,Win,84.0,12,-1.1074059812892405,-0.805279955033789
10,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,175,Win,84.0,12,-0.3279312027680843,-1.49048969428069
11,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,173,Win,84.0,12,0.2477800421818507,-1.2294830425267849
12,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,165,Win,84.0,12,-1.2429627615504786,-0.5360144423010225
13,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,158,Win,84.0,12,0.08653418678208957,-1.2778075079206639
14,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,141,Win,84.0,12,-0.9533779209360457,-0.5527143388583597
15,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,132,Win,84.0,12,-0.8861138255139249,-0.5645173960735419
16,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,127,Win,84.0,12,-1.3121257173443008,-0.695039930686588
17,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,126,Win,84.0,12,-1.1997741190362197,-0.3878557103349903
18,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,102,Win,84.0,12,0.2694832511785947,-1.3287611274611248
19,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,78,Win,84.0,12,-1.007827081811613,-0.4430211023893284
20,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,37,Win,84.0,12,0.07452211438462668,-1.2429695628588855
21,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,33,Win,84.0,12,-0.8861138255139251,-0.5645173960735417
22,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,14,Win,84.0,12,-1.110552688896602,-0.8736215002186036
23,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,150,Win,81.0,12,-0.9548716108082961,-0.3155939499627672
24,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,79,Win,81.0,12,-0.7008371153848841,-1.0921204925974881
25,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,51,Win,81.0,12,-0.6632989761271734,-0.5734110785475103
26,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,263,Win,81.0,13,-0.7432662154350317,-0.251344532177168
27,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,236,Win,81.0,13,0.3334797708548816,-0.7453366765769471
28,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,180,Win,81.0,13,-0.8792042258944252,0.033950487981965385
29,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,174,Win,81.0,13,-0.8157011487758584,-0.024855399285288352
