idx,map_id,method,method_group,experiment_id,archive_id,source_run,trial_id,evaluation_id,episode_id,trial_number,result,score,return,battle_won,source_file,bktree_path,unified_bktree_path,state_id_sequence_length,unified_state_id_sequence_length,unified_reconstructed_state_count,unified_missing_state_count,state_id_sequence_text,unified_state_id_sequence_text,unified_state_status_sequence_text,unified_state_source_sequence_text
0,MarineMicro_MvsM_4_dist,ETG-only,CALP-ETG,sce2_etg_run_0042,,,repeat_001,eval_run_0042_web_batch_20260611_140111,298,1.0,Win,87.0,,,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/episodes.jsonl,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/bktree,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\fused_bktree_web_batch_20260612_153602_top100_anchor_no_replay\MarineMicro_MvsM_4_dist\bktree,13,13,0,0,0 125 74 191 353 220 220 330 206 207 133 392 222,0 323 249 613 643 644 644 548 645 646 569 647 648,source_bktree_start_anchor source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree,0 125 74 191 353 220 220 330 206 207 133 392 222
1,MarineMicro_MvsM_4_dist,ETG-only,CALP-ETG,sce2_etg_run_0042,,,repeat_001,eval_run_0042_web_batch_20260611_140111,295,1.0,Win,84.0,,,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/episodes.jsonl,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/bktree,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\fused_bktree_web_batch_20260612_153602_top100_anchor_no_replay\MarineMicro_MvsM_4_dist\bktree,12,12,0,0,0 19 2 41 32 20 97 97 35 183 183 25,0 312 249 649 26 15 333 333 552 650 650 651,source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree,0 19 2 41 32 20 97 97 35 183 183 25
2,MarineMicro_MvsM_4_dist,ETG-only,CALP-ETG,sce2_etg_run_0042,,,repeat_001,eval_run_0042_web_batch_20260611_140111,293,1.0,Win,84.0,,,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/episodes.jsonl,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/bktree,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\fused_bktree_web_batch_20260612_153602_top100_anchor_no_replay\MarineMicro_MvsM_4_dist\bktree,12,12,0,0,0 19 2 2 32 20 398 97 35 83 24 25,0 312 249 249 26 15 652 333 552 567 73 651,source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree,0 19 2 2 32 20 398 97 35 83 24 25
3,MarineMicro_MvsM_4_dist,ETG-only,CALP-ETG,sce2_etg_run_0042,,,repeat_001,eval_run_0042_web_batch_20260611_140111,251,1.0,Win,84.0,,,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/episodes.jsonl,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/bktree,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\fused_bktree_web_batch_20260612_153602_top100_anchor_no_replay\MarineMicro_MvsM_4_dist\bktree,12,12,0,0,0 19 41 41 32 42 50 50 35 183 183 52,0 312 649 649 26 653 654 654 552 650 650 655,source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree,0 19 41 41 32 42 50 50 35 183 183 52
4,MarineMicro_MvsM_4_dist,ETG-only,CALP-ETG,sce2_etg_run_0042,,,repeat_001,eval_run_0042_web_batch_20260611_140111,227,1.0,Win,84.0,,,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/episodes.jsonl,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/bktree,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\fused_bktree_web_batch_20260612_153602_top100_anchor_no_replay\MarineMicro_MvsM_4_dist\bktree,12,12,0,0,0 19 41 41 32 42 50 50 35 44 183 52,0 312 649 649 26 653 654 654 552 656 650 655,source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree,0 19 41 41 32 42 50 50 35 44 183 52
5,MarineMicro_MvsM_4_dist,ETG-only,CALP-ETG,sce2_etg_run_0042,,,repeat_001,eval_run_0042_web_batch_20260611_140111,211,1.0,Win,84.0,,,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/episodes.jsonl,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/bktree,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\fused_bktree_web_batch_20260612_153602_top100_anchor_no_replay\MarineMicro_MvsM_4_dist\bktree,12,12,0,0,0 19 41 41 49 42 360 58 67 287 276 52,0 312 649 649 657 653 658 659 660 661 337 655,source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree,0 19 41 41 49 42 360 58 67 287 276 52
6,MarineMicro_MvsM_4_dist,ETG-only,CALP-ETG,sce2_etg_run_0042,,,repeat_001,eval_run_0042_web_batch_20260611_140111,197,1.0,Win,84.0,,,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/episodes.jsonl,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/bktree,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\fused_bktree_web_batch_20260612_153602_top100_anchor_no_replay\MarineMicro_MvsM_4_dist\bktree,12,12,0,0,0 19 2 82 32 20 97 97 35 83 51 25,0 312 249 662 26 15 333 333 552 567 663 651,source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree,0 19 2 82 32 20 97 97 35 83 51 25
7,MarineMicro_MvsM_4_dist,ETG-only,CALP-ETG,sce2_etg_run_0042,,,repeat_001,eval_run_0042_web_batch_20260611_140111,195,1.0,Win,84.0,,,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/episodes.jsonl,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/bktree,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\fused_bktree_web_batch_20260612_153602_top100_anchor_no_replay\MarineMicro_MvsM_4_dist\bktree,12,12,0,0,0 73 2 2 26 20 376 155 79 148 148 377,0 664 249 249 36 15 665 666 667 668 668 669,source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree,0 73 2 2 26 20 376 155 79 148 148 377
8,MarineMicro_MvsM_4_dist,ETG-only,CALP-ETG,sce2_etg_run_0042,,,repeat_001,eval_run_0042_web_batch_20260611_140111,191,1.0,Win,84.0,,,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/episodes.jsonl,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/bktree,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\fused_bktree_web_batch_20260612_153602_top100_anchor_no_replay\MarineMicro_MvsM_4_dist\bktree,12,12,0,0,0 19 2 2 26 20 50 43 271 366 356 46,0 312 249 249 36 15 654 670 614 671 616 672,source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree,0 19 2 2 26 20 50 43 271 366 356 46
9,MarineMicro_MvsM_4_dist,ETG-only,CALP-ETG,sce2_etg_run_0042,,,repeat_001,eval_run_0042_web_batch_20260611_140111,188,1.0,Win,84.0,,,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/episodes.jsonl,ETG-only/sce2_etg_run_0042/final_eval/eval_run_0042_web_batch_20260611_140111/repeats/repeat_001/bktree,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\fused_bktree_web_batch_20260612_153602_top100_anchor_no_replay\MarineMicro_MvsM_4_dist\bktree,12,12,0,0,0 19 2 2 49 42 360 360 67 276 276 52,0 312 249 249 657 653 658 658 660 337 337 655,source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree source_bktree,0 19 2 2 49 42 360 360 67 276 276 52
