source,target,transition_count,state_distance,methods,category
0,1,115,1.0666666666666664,MAT;QMIX;VDN,baseline
0,22,133,1.0666666666666664,ETG-only;MAPPO;QMIX;QTRAN;RMAPPO;Synergy;VDN,cross_shared
0,33,143,1.0822916666666664,MAPPO;MAT;QMIX;QTRAN;RMAPPO;Synergy;VDN,cross_shared
0,219,1,1.0979166666666667,QMIX,baseline
0,312,276,1.1135416666666664,ETG-only;MAPPO;QTRAN;RMAPPO;Synergy,cross_shared
0,323,124,1.0666666666666664,ETG-only;MAPPO;QTRAN;RMAPPO;Synergy;VDN,cross_shared
0,664,8,1.0666666666666667,ETG-only,calp
249,33,33,1.9135416666666667,,baseline
249,42,45,1.1916666666666669,,baseline
249,307,23,1.3406250000000002,QTRAN;RMAPPO,baseline
249,312,205,2.735638753578746,ETG-only;MAPPO;QTRAN;RMAPPO;Synergy,cross_shared
249,105,55,1.5760416666666668,,baseline
249,323,82,2.6979166666666665,ETG-only;MAPPO;QTRAN;RMAPPO;Synergy,cross_shared
249,26,76,1.5916666666666668,,baseline
249,22,45,2.6979166666666665,,baseline
249,23,17,2.9645833333333336,,baseline
249,138,5,1.6625,,baseline
249,53,3,1.2312500000000002,,baseline
249,543,37,1.5413600286299705,MAPPO;RMAPPO,baseline
249,36,21,1.5135416666666668,,baseline
249,550,1,2.9710554202454134,MAPPO,baseline
249,565,2,2.9645833333333336,MAPPO,baseline
249,69,4,1.6533470869120797,,baseline
249,24,1,3.4979166666666672,,baseline
249,613,45,0.9645833333333336,ETG-only;RMAPPO;Synergy,cross_shared
249,618,1,3.0023054202454134,RMAPPO,baseline
249,619,23,1.268221275051224,RMAPPO,baseline
249,634,3,1.3802083333333335,RMAPPO,baseline
249,649,13,0.8525962750512242,ETG-only;Synergy,calp
249,662,34,1.0080266952966372,ETG-only;Synergy,calp
249,664,7,1.63125,ETG-only,calp
249,657,3,2.0590683619633037,ETG-only,calp
249,643,2,1.5916666666666668,ETG-only,calp
249,676,8,1.725,ETG-only,calp
249,697,3,0.7257350286299703,ETG-only,calp
249,701,3,0.9250000000000002,ETG-only;Synergy,calp
249,704,4,0.8229166666666669,ETG-only;Synergy,calp
249,712,3,0.9645833333333335,ETG-only;Synergy,calp
249,732,1,1.0427083333333336,ETG-only,calp
249,733,3,1.725,ETG-only;Synergy,calp
249,734,3,1.5760416666666668,ETG-only,calp
249,755,1,1.725,ETG-only,calp
249,763,1,0.8293887535787463,Synergy,calp
249,745,10,1.2590683619633039,Synergy,calp
249,725,2,0.925,Synergy,calp
249,771,1,1.0427083333333336,Synergy,calp
249,797,1,1.4895833333333335,Synergy,calp
312,319,2,1.1264858404908262,QTRAN,baseline
312,351,6,0.6280910693059268,QTRAN,baseline
312,565,2,0.5802083333333337,MAPPO,baseline
312,618,1,0.5645833333333334,RMAPPO,baseline
312,649,22,2.046875,ETG-only,calp
312,697,2,1.8979166666666667,ETG-only,calp
312,662,33,2.2023054202454135,Synergy,calp
312,745,2,2.4312500000000004,Synergy,calp
312,737,1,2.3356387535787464,Synergy,calp
15,14,12,3.0666666666666664,,baseline
15,16,4,0.8937500000000002,QMIX,baseline
15,139,9,3.0979166666666664,MAPPO;QMIX,baseline
15,120,1,0.9703046083845572,QMIX,baseline
15,157,1,0.7992491881391444,QMIX,baseline
15,178,12,3.22209708691208,QMIX;RMAPPO,baseline
15,5,1,1.221346275051224,,baseline
15,119,1,3.064805420245413,QMIX,baseline
15,223,10,0.89375,MAT;QMIX,baseline
15,145,6,0.9066941738241593,QMIX,baseline
15,42,24,3.1108608404908256,ETG-only;MAPPO;QMIX,cross_shared
15,140,1,1.2304991881391445,QMIX,baseline
15,538,27,1.2213462750512238,MAPPO,baseline
15,544,22,1.6046108404908257,MAPPO;MAT;RMAPPO,baseline
15,328,63,1.4880129417178907,MAPPO;RMAPPO,baseline
15,36,13,2.1489583333333333,ETG-only;MAPPO;Synergy,cross_shared
15,548,13,1.3314720869120795,MAPPO;Synergy,cross_shared
15,543,24,2.137944173824159,ETG-only;MAPPO;RMAPPO,cross_shared
15,551,7,1.5981387535787461,MAPPO,baseline
15,366,19,3.0427083333333336,MAPPO;RMAPPO,baseline
15,333,35,1.3859296083845574,ETG-only;MAPPO,cross_shared
15,26,59,2.9554304202454125,ETG-only;MAPPO;RMAPPO;Synergy,cross_shared
15,483,2,1.8208681705329917,MAPPO,baseline
15,571,1,2.3108608404908257,MAT,baseline
15,590,1,1.3554304202454128,MAT,baseline
15,613,31,3.222097086912079,RMAPPO,baseline
15,166,14,1.3250000000000002,RMAPPO,baseline
15,81,3,0.5554304202454128,ETG-only;RMAPPO,cross_shared
15,389,13,3.6137637535787466,RMAPPO,baseline
15,621,14,1.4095970869120795,RMAPPO,baseline
15,626,1,1.4252220869120795,RMAPPO,baseline
15,627,13,1.434375,ETG-only;RMAPPO,cross_shared
15,628,7,1.4252220869120795,RMAPPO,baseline
15,617,4,1.3482075214724774,RMAPPO,baseline
15,619,6,2.9314720869120796,RMAPPO,baseline
15,652,2,1.621346275051224,ETG-only,calp
15,665,1,0.6887637535787463,ETG-only,calp
15,654,2,1.4343750000000002,ETG-only,calp
15,675,5,0.9554304202454129,ETG-only,calp
15,680,5,1.1101100286299703,ETG-only,calp
15,657,3,3.473958333333333,ETG-only,calp
15,653,1,0.9767766952966369,ETG-only,calp
15,681,1,1.3703046083845574,ETG-only,calp
15,700,3,1.3924016952966367,ETG-only,calp
15,682,2,1.51011002862997,ETG-only,calp
15,670,1,1.776776695296637,ETG-only,calp
15,718,2,1.0712775071574927,ETG-only,calp
15,723,1,2.2887637535787464,ETG-only,calp
15,715,4,0.8220970869120797,ETG-only;Synergy,calp
15,727,2,0.9546796083845572,ETG-only,calp
15,644,1,1.01875,ETG-only,calp
15,731,1,0.6880129417178906,ETG-only,calp
15,705,1,0.8854166666666665,ETG-only,calp
15,734,1,3.237722086912079,ETG-only,calp
15,558,2,1.4739583333333335,ETG-only;Synergy,calp
15,684,1,0.8220970869120796,Synergy,calp
15,774,1,1.526485840490826,Synergy,calp
15,713,4,2.2887637535787464,Synergy,calp
15,583,2,0.8441941738241593,Synergy,calp
15,784,1,1.1981387535787464,Synergy,calp
15,769,1,1.5200137535787464,Synergy,calp
15,795,1,0.6887637535787462,Synergy,calp
15,711,2,2.0590683619633037,Synergy,calp
15,804,1,3.222097086912079,Synergy,calp
15,809,1,0.9158470869120796,Synergy,calp
26,25,4,1.0666666666666667,,baseline
26,27,8,0.8312499999999998,QMIX,baseline
26,24,3,1.9999999999999998,,baseline
26,52,3,3.5999999999999996,QMIX,baseline
26,54,2,1.2937499999999997,QMIX,baseline
26,164,1,1.0666666666666667,QMIX,baseline
26,53,3,0.6270833333333332,QMIX,baseline
26,36,8,0.909375,MAPPO;QMIX,baseline
26,225,1,1.0887637535787462,QMIX,baseline
26,320,2,1.8979166666666667,QTRAN,baseline
26,178,1,0.7999999999999999,QTRAN,baseline
26,105,12,0.9482075214724777,QTRAN,baseline
26,352,2,2.3447916666666666,QTRAN,baseline
26,327,2,0.8937499999999998,QTRAN,baseline
26,366,20,0.6427083333333332,MAPPO;QTRAN;RMAPPO,baseline
26,551,6,2.148207521472478,MAPPO,baseline
26,613,1,0.6270833333333332,RMAPPO,baseline
26,81,5,2.933333333333333,RMAPPO,baseline
26,307,1,0.5710554202454128,RMAPPO,baseline
