state_id,x,y,visits,method_count,methods,color,category,marker
0,-4.01693392457424,-5.166703751812119,800,8,ETG-only;MAPPO;MAT;QMIX;QTRAN;RMAPPO;Synergy;VDN,#4c4c4c,cross_shared,D
249,-1.4552983513553197,-3.821199607256124,499,6,ETG-only;MAPPO;QMIX;QTRAN;RMAPPO;Synergy,#7c7c7c,cross_shared,D
312,-3.59308185684083,-4.510318170815505,417,5,ETG-only;MAPPO;QTRAN;RMAPPO;Synergy,#949494,cross_shared,D
15,0.43589150044998265,-1.368767619334837,395,6,ETG-only;MAPPO;MAT;QMIX;RMAPPO;Synergy,#7c7c7c,cross_shared,D
26,-1.5034997488674686,-2.28553693809822,228,6,ETG-only;MAPPO;QMIX;QTRAN;RMAPPO;Synergy,#7c7c7c,cross_shared,D
33,-4.101096774856978,-3.979396582289754,215,7,MAPPO;MAT;QMIX;QTRAN;RMAPPO;Synergy;VDN,#646464,cross_shared,D
323,-3.7977806406783468,-4.3546016382947395,210,6,ETG-only;MAPPO;QTRAN;RMAPPO;Synergy;VDN,#7c7c7c,cross_shared,D
22,-3.623018390952897,-4.333798664554148,191,8,ETG-only;MAPPO;MAT;QMIX;QTRAN;RMAPPO;Synergy;VDN,#4c4c4c,cross_shared,D
105,-1.7011054565823513,-2.0301536691439774,156,4,MAT;QMIX;QTRAN;VDN,#acacac,baseline_shared,o
1,-3.8381059237067943,-4.140434843633389,152,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
42,-1.5313480286484218,-2.6773397225696556,137,4,ETG-only;MAPPO;MAT;QMIX,#acacac,cross_shared,D
552,2.7582597232500707,-0.3921676212887306,136,4,ETG-only;MAPPO;RMAPPO;Synergy,#acacac,cross_shared,D
662,-1.4101365494126514,-3.3549314864989923,128,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
328,0.6221906990854371,-0.657514281737741,121,3,MAPPO;QTRAN;RMAPPO,#c3c3c3,baseline_shared,o
339,2.9665115975743177,-0.07019172892099913,106,3,MAPPO;QTRAN;RMAPPO,#c3c3c3,baseline_shared,o
47,3.2773603746979223,2.996144998236102,105,5,MAPPO;MAT;QMIX;QTRAN;VDN,#949494,baseline_shared,o
10,2.9959579893964876,3.0859905265951912,96,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
337,2.7449925578650576,0.912334831611174,93,4,ETG-only;QTRAN;RMAPPO;Synergy,#acacac,cross_shared,D
547,4.933382910875593,-0.3544799774351603,92,4,ETG-only;MAPPO;RMAPPO;Synergy,#acacac,cross_shared,D
9,3.1068361143932757,2.478097016715234,90,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
36,-1.6976065737415877,-2.057813566106313,84,5,ETG-only;MAPPO;MAT;QMIX;Synergy,#949494,cross_shared,D
333,0.7790163404447311,-0.9421098882387171,82,3,ETG-only;MAPPO;QTRAN,#c3c3c3,cross_shared,D
546,3.5777105652675387,1.9997595038038356,82,3,ETG-only;MAPPO;RMAPPO,#c3c3c3,cross_shared,D
32,5.126707462126596,0.7356282358109864,80,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
20,3.6852443065376854,4.091852612213003,79,4,MAT;QMIX;QTRAN;VDN,#acacac,baseline_shared,o
11,4.80765626350587,0.923978181727051,78,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
613,-1.6185570564439067,-2.744624461571761,78,3,ETG-only;RMAPPO;Synergy,#c3c3c3,cross_shared,D
315,0.7646835151694186,0.3925861127117687,75,1,QTRAN,#9467BD,baseline_unique,o
317,3.6000736350619498,2.8547639164069984,73,3,MAPPO;QTRAN;Synergy,#c3c3c3,cross_shared,D
543,-1.4650017592763844,-2.429177089187931,71,3,ETG-only;MAPPO;RMAPPO,#c3c3c3,cross_shared,D
21,5.857295612571359,1.3681112469522783,69,4,MAT;QMIX;QTRAN;VDN,#acacac,baseline_shared,o
313,-1.6210897804053281,-1.3497057593861166,68,1,QTRAN,#9467BD,baseline_unique,o
213,2.96021707894402,2.849066504702339,64,3,MAT;QMIX;QTRAN,#c3c3c3,baseline_shared,o
81,0.43018469941381204,-1.350750685695138,60,4,ETG-only;MAPPO;QMIX;RMAPPO,#acacac,cross_shared,D
651,3.5069125073550427,-1.7812248938182025,60,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
5,0.5041558067571777,-0.18560269822837475,56,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
549,3.2754251492511415,2.5704396823166653,56,3,MAPPO;RMAPPO;Synergy,#c3c3c3,cross_shared,D
314,-1.8283307655433225,-0.12760957179398702,55,1,QTRAN,#9467BD,baseline_unique,o
762,0.7897721794269232,-2.257174450695224,55,1,Synergy,#1F5A9D,calp_unique,^
538,0.4018888488037302,-0.7524082251890734,54,3,ETG-only;MAPPO;MAT,#c3c3c3,cross_shared,D
544,-1.0735529543795284,-2.068745985082353,54,3,MAPPO;MAT;RMAPPO,#c3c3c3,baseline_shared,o
13,-3.66528809498584,-3.1736121947202363,53,2,MAT;QMIX,#dbdbdb,baseline_shared,o
14,-3.8692124355188224,-2.0773055588742495,51,2,MAT;QMIX,#dbdbdb,baseline_shared,o
540,2.2642485339310507,1.2057928188022595,50,2,MAPPO;MAT,#dbdbdb,baseline_shared,o
